[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 153/300 | D=-0.3099 G=5.8872 SF=0.0222 | frob=4.6130 (best=4.3554) | 18.6s
Epoch 154/300 | D=-0.3043 G=5.9839 SF=0.0195 | frob=4.5791 (best=4.3554) | 18.5s
Epoch 155/300 | D=-0.3076 G=6.0126 SF=0.0246 | frob=4.5009 (best=4.3554) | 18.3s
Epoch 156/300 | D=-0.3036 G=5.9095 SF=0.0179 | frob=4.6127 (best=4.3554) | 18.3s
Epoch 157/300 | D=-0.3085 G=5.5923 SF=0.0202 | frob=4.5356 (best=4.3554) | 18.3s
Epoch 158/300 | D=-0.2852 G=5.7542 SF=0.0175 | frob=4.5341 (best=4.3554) | 18.5s
Epoch 159/300 | D=-0.2999 G=5.5365 SF=0.0202 | frob=4.2890 (best=4.3554) | 18.8s
Epoch 160/300 | D=-0.3083 G=5.6813 SF=0.0175 | frob=4.2012 (best=4.2890) | 18.5s
Epoch 161/300 | D=-0.3042 G=5.7071 SF=0.0180 | frob=4.6026 (best=4.2012) | 18.4s
Epoch 162/300 | D=-0.2929 G=5.7944 SF=0.0231 | frob=4.3565 (best=4.2012) | 18.4s
Epoch 163/300 | D=-0.2973 G=5.7665 SF=0.0190 | frob=4.4206 (best=4.2012) | 18.4s
Epoch 164/300 | D=-0.2943 G=5.8377 SF=0.0174 | frob=4.1923 (best=4.2012) | 18.3s
Epoch 165/300 | D=-0.2770 G=5.7351 SF=0.0198 | frob=4.5005 (best=4.1923) | 18.6s
Epoch 166/300 | D=-0.3085 G=5.7307 SF=0.0206 | frob=4.4972 (best=4.1923) | 18.4s
Epoch 167/300 | D=-0.2932 G=5.5541 SF=0.0191 | frob=4.3844 (best=4.1923) | 18.6s
Epoch 168/300 | D=-0.2882 G=5.4440 SF=0.0192 | frob=4.3160 (best=4.1923) | 18.4s
